Asociación,Actividad Subvencionada ,Importe,Justificación requerida,Exceso del Importe
AMPA ANTONIO MACHADO,TALLER FIESTA DE CARNAVAL,94.56,No,0
AMPA ANTONIO MACHADO,TALLER DIA DEL PADRE,39.04,No,0
AMPA ANTONIO MACHADO,TALLER DIA DE LA MADRE,43.64,No,0
AMPA ANTONIO MACHADO,FIESTA FIN DE CURSO,921,Si,621.0
AMPA ANTONIO MACHADO,CONCURSO LOGOTIPO AMPA,56.57,No,0
AMPA ANTONIO MACHADO,ASOCIACION FAPA ALCOBENDAS,80,No,0
AMPA ANTONIO MACHADO,ASOCIACION FAPA GINER DE LOS RIOS,86.79,No,0
AMPA ANTONIO MACHADO,FIESTA DE NAVIDAD,660,Si,360.0
AMPA ANTONIO MACHADO,HALLOWEEN,168.39,No,0
AMPA ANTONIO MACHADO,SAN ISIDRO,195,No,0
AMPA BACHILLER ALONSO LOPEZ,MATEMATICAS MANIPULATIVAS,480,Si,180.0
AMPA BACHILLER ALONSO LOPEZ,PROYECTO DE INGLES,480,Si,180.0
AMPA BACHILLER ALONSO LOPEZ,EXCURSIONES PRIMARIA,928,Si,628.0
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN INFANTIL,360,Si,60.0
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN 6 PRIM,240,No,0
AMPA BACHILLER ALONSO LOPEZ,REVISTA COLEGIO ENTRETIZAS,220,No,0
AMPA BACHILLER ALONSO LOPEZ,FIESTA INTERCULTURAL,492,Si,192.0
AMPA CASTILLA,CONCURSO TARJETAS NAVIDEÑAS,124,No,0
AMPA CASTILLA,TALLER COMO MEJORAR LA AUTOESTIMA DE NUESTROS HIJOS,160,No,0
AMPA CASTILLA,FIESTA FIN DE CURSO,840,Si,540.0
AMPA CASTILLA,"PROPUESTA DE ACTIV EXTRAESCOLARES, INSCRIPCIONES, INTERCAMBIO LIBROS",150,No,0
AMPA CASTILLA,FEDERACION,64,No,0
AMPA CASTILLA,FIESTA REYES MAGOS,460,Si,160.0
AMPA CASTILLA,CHOCOLATADA,336,Si,36.0
AMPA CASTILLA,SAN ISIDRO,163,No,0
AMPA CASTILLA,HALLOWEEN,160,No,0
AMPA CASTILLA,CARNAVAL EN LA AULAS,147.44,No,0
AMPA DAOIZ Y VELARDE,PLAN LECTOR,370,Si,70.0
AMPA DAOIZ Y VELARDE,CONCIERTO MUSICA DIVERTIDA,575.74,Si,275.74
AMPA DAOIZ Y VELARDE,TALLER HABILIDADES SOCIALES O TECNICAS DE ESTUDIO,220,No,0
AMPA DAOIZ Y VELARDE,FIESTA FIN DE CURSO,600,Si,300.0
AMPA DAOIZ Y VELARDE,GRADUACIONES INFANTIL Y SEXTO,160,No,0
AMPA DAOIZ Y VELARDE,AGENDAS,340,Si,40.0
AMPA DAOIZ Y VELARDE,EXPOSICION FOTOGRAFICA,198,No,0
AMPA DAOIZ Y VELARDE,NAVIDAD,689,Si,389.0
AMPA EMILIO CASADO,DIA DE LA MUSICA,295.67,No,0
AMPA EMILIO CASADO,SALIDA CULTURAL AL TEATRO,196,No,0
AMPA EMILIO CASADO,FESTIVAL FIN DE CURSO,247,No,0
AMPA EMILIO CASADO,FIESTA FIN DE CURSO,1000,Si,700.0
AMPA EMILIO CASADO,ASOCIACION FAPA GINER DE LOS RIOS,175,No,0
AMPA EMILIO CASADO,ASOCIACION FAPA ALCOBENDAS,77,No,0
AMPA EMILIO CASADO,FIESTA NAVIDAD,850,Si,550.0
AMPA EMILIO CASADO,INTERCENTROS ATLETISMO,175,No,0
AMPA FEDERICO GARCIA LORCA,DIA DEL LIBRO,1400,Si,1100.0
AMPA FEDERICO GARCIA LORCA,TALLERES DE HALLOWEEN Y ADORNOS NAVIDAD,85,No,0
AMPA FEDERICO GARCIA LORCA,FIESTA FIN DE CURSO,434.06,Si,134.06
AMPA GABRIEL Y GALAN,EXCURSIONES,1151.51,Si,851.51
AMPA GABRIEL Y GALAN,HUERTO ESCOLAR,80,No,0
AMPA GABRIEL Y GALAN,CUENTACUENTOS,200,No,0
AMPA GABRIEL Y GALAN,TALLER NAVIDEÑO,120,No,0
AMPA GABRIEL Y GALAN,FIESTA FIN DE CURSO,480,Si,180.0
AMPA GABRIEL Y GALAN,PERIODICO,160,No,0
AMPA GABRIEL Y GALAN,CARNAVAL,350,Si,50.0
AMPA GABRIEL Y GALAN,SAN ISIDRO,200,No,0
AMPA LUIS BUÑUEL,CONCURSO FELICITACIONES DE NAVIDAD,90,No,0
AMPA LUIS BUÑUEL,MERCADILLO NAVIDEÑO,90,No,0
AMPA LUIS BUÑUEL,GRADUACION,440,Si,140.0
AMPA LUIS BUÑUEL,FIESTA FIN DE CURSO,55,No,0
AMPA LUIS BUÑUEL,PARTICIPACION FAPA ALCOBENDAS Y FAPA GINER DE LOS RIOS,227,No,0
AMPA LUIS BUÑUEL,FIESTA NAVIDAD,625,Si,325.0
AMPA LUIS BUÑUEL,SAN ISIDRO,200,No,0
AMPA LUIS BUÑUEL,FIESTA DE HALLOWEEN,80,No,0
AMPA LUIS BUÑUEL,CASTAÑADA,65,No,0
AMPA LUIS BUÑUEL,CARNAVAL EN LAS AULAS: MERCADILLO MEDIEVAL,209,No,0
AMPA MIGUEL HERNANDEZ,CERTAMEN LITERARIO Y DE DIBUJO,300,No,0
AMPA MIGUEL HERNANDEZ,SEMANA CULTURAL,153,No,0
AMPA MIGUEL HERNANDEZ,EXCURSION A MADRID,504,Si,204.0
AMPA MIGUEL HERNANDEZ,EXCURSION A SIERRA DE GUADARRAMA,293,No,0
AMPA MIGUEL HERNANDEZ,CONCURSO DE TARJETAS NAVIDEÑAS,150,No,0
AMPA MIGUEL HERNANDEZ,PARTICIPACION FESTIVAL FAPA,12,No,0
AMPA MIGUEL HERNANDEZ,FESTIVAL FIN CURSO,287,No,0
AMPA MIGUEL HERNANDEZ,ENTREGA DE ORLAS 3º INFANTIL,100,No,0
AMPA MIGUEL HERNANDEZ,PARTICIPACION EN FEDERACIONES,80,No,0
AMPA MIGUEL HERNANDEZ,VISITA REYES MAGOS,530,Si,230.0
AMPA MIGUEL HERNANDEZ,FIESTA NAVIDAD,475,Si,175.0
AMPA MIGUEL HERNANDEZ,TORNEOS DEPORTIVOS,39.35,No,0
AMPA MIRAFLORES,SALIDA CULTURAL SAFARI,1500,Si,1200.0
AMPA MIRAFLORES,FIESTA FIN DE CURSO,560,Si,260.0
AMPA MIRAFLORES,CUENTOS EN MIRAFLORES,400,Si,100.0
AMPA MIRAFLORES,FIESTA DE NAVIDAD,327.21,Si,27.20999999999998
AMPA PARQUE CATALUÑA,CONCURSO DE TARJETAS NAVIDEÑAS,290,No,0
AMPA PARQUE CATALUÑA,FUTBOL,95,No,0
AMPA PARQUE CATALUÑA,MULTIDEPORTE,400,Si,100.0
AMPA PARQUE CATALUÑA,GRADUACIÓN,130,No,0
AMPA PARQUE CATALUÑA,FIESTA FIN DE CURSO,995,Si,695.0
AMPA PARQUE CATALUÑA,PARTICIPACIÓN FAPA,64,No,0
AMPA PARQUE CATALUÑA,NAVIDAD,455,Si,155.0
AMPA PARQUE CATALUÑA,DIA DEL LIBRO,175.44,No,0
AMPA PROFESOR TIERNO GALVÁN,FIESTA FIN DE CURSO,300,No,0
AMPA PROFESOR TIERNO GALVÁN,FAPA,80,No,0
AMPA PROFESOR TIERNO GALVÁN,DIA DEL LIBRO,306,Si,6.0
AMPA PROFESOR TIERNO GALVÁN,DIA DE SAN ISIDRO,100,No,0
AMPA PROFESOR TIERNO GALVÁN,CONCURSO DE CHRISTMAS,250,No,0
AMPA PROFESOR TIERNO GALVÁN,FIESTA NAVIDAD,250,No,0
AMPA SEIS DE DICIEMBRE,EXCURSION GRANJA TALAMANCA,476,Si,176.0
AMPA SEIS DE DICIEMBRE,NAVIDAD,320,Si,20.0
AMPA SEIS DE DICIEMBRE,CUENTACUENTOS AMBIENTALES,280,No,0
AMPA SEIS DE DICIEMBRE,FIN DE CURSO,256,No,0
AMPA SEIS DE DICIEMBRE,FESTIVAL FIN DE CURSO,100,No,0
AMPA SEIS DE DICIEMBRE,AGENDA ESCOLAR,518,Si,218.0
AMPA VALDEPALITOS,VISITA MUSEO DEL VIDRIO,385.5,Si,85.5
AMPA VALDEPALITOS,SALIDAS CULTURALES EN FAMILIA,490,Si,190.0
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DISFRACES,190,No,0
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DANZA ESPAÑOLA,190,No,0
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DANZA MODERNA,90,No,0
AMPA VALDEPALITOS,FIESTA FIN DE CURSO,690,Si,390.0
AMPA VALDEPALITOS,FESTIVAL DANZA Y TEATRO,210,No,0
AMPA VALDEPALITOS,CEREMONIA GRADUACION 6º PRIMARIA,170,No,0
